path,width,height,sha256,usage,notes
images/runtime-ready/world/characters/player_male_cultivator_512x768.png,512,768,95b84c8036d941808acf471a49df2c786e2e445b0d0e297ed0319dfefd6831bf,Player visual placeholder,
images/runtime-ready/world/dummy/dummy_hit_512x768.png,512,768,aab7815f416a5a18c243536f55bc78b1bb80ce6a618ee9d9e803cd58b890e0cd,Training dummy state,
images/runtime-ready/world/dummy/dummy_idle_512x768.png,512,768,64167279908cc9f4334539aaf5325c730018e2e30cee2cf20e94907142759576,Training dummy state,
images/runtime-ready/world/dummy/dummy_selected_512x768.png,512,768,ca19cc5a1f4a211545ee49fbb9265f59c37053b8cfbc88d6ee91570f2e334012,Training dummy state,
images/runtime-ready/world/dummy/shadow_slime_alt_512x512.png,512,512,cd353e35fc8f272a4a78b2c441477b2d88936a090ff488b3e23394092707cc96,Alternate shadow slime placeholder,
images/runtime-ready/world/gate/spirit_gate_1024x1024.png,1024,1024,46cdb4c0b93333224f18643dafde5c7e919a06d8ce41bb83bf77f28d70a70847,Spirit Gate world object,
images/runtime-ready/world/npc/gate_keeper_npc_512x768.png,512,768,c6a18e336ee34258e783eb8be71b941b9c8445a7e1315f6008205ca146919416,Gate Keeper NPC,
images/runtime-ready/world/props/banner_cultivation_256x512.png,256,512,8063700f0b76710f2b2f278945af380247667e3e64c8446e071540d75a77626f,Cultivation banner,
images/runtime-ready/world/props/bridge_wood_1024x512.png,1024,512,ade0b35535b08995598fbfb2663d1ebe48cd306afcd77ebc16a70cbfed2c2324,Bridge prop,
images/runtime-ready/world/props/lantern_prop_256x512.png,256,512,c7e8b9934235e27423225b2f6e0bde6d2c024e00da19f84902232498b0e3510e,Lantern prop,
images/runtime-ready/world/props/rock_moss_512x512.png,512,512,0ea646a34dbb87f3f651d1fe395f99306da8ab3073d2950012351accbf3db55f,Environment rock,
images/runtime-ready/world/props/tree_cherry_512x512.png,512,512,0956afb329e95f502470f87682e0f34fae3b0d426eaf2e2f8ddf7238b87b4545,Environment prop,
images/runtime-ready/world/props/tree_pine_512x512.png,512,512,c56a6bcb2c13c7ab2db1ce19207ed244c109a6f4f65f9d4734d7c29602130992,Environment prop,
images/runtime-ready/world/training-stone/training_stone_512x1024.png,512,1024,e8730163e71faa9cfefeb30e0c400ba96fc253cab66d6ef77e59dc018af5b6c0,Training Stone world object,
